date,region,temp_max,temp_min,temp_mean,precipitation,wind_speed,solar_radiation,evapotranspiration
2015-01-01,Nakuru,24.8,12.9,18.9,0.0,13.1,27.06,5.41
2015-01-02,Nakuru,25.5,12.0,18.8,0.0,11.9,27.91,5.75
2015-01-03,Nakuru,26.0,10.5,18.7,0.0,11.5,28.23,5.84
2015-01-04,Nakuru,25.8,10.9,18.7,0.0,10.7,26.29,5.53
2015-01-05,Nakuru,24.7,14.3,19.5,0.0,14.2,24.55,5.28
2015-01-06,Nakuru,24.5,14.1,19.6,0.0,15.6,23.22,5.13
2015-01-07,Nakuru,24.2,13.7,18.8,0.0,14.1,23.66,4.71
2015-01-08,Nakuru,24.5,12.7,18.6,0.1,12.2,24.91,4.85
2015-01-09,Nakuru,23.8,13.1,18.6,0.1,12.8,21.88,4.43
2015-01-10,Nakuru,23.9,14.0,18.7,0.0,13.4,23.06,4.68
2015-01-11,Nakuru,22.2,15.2,18.6,0.0,14.9,19.47,4.06
2015-01-12,Nakuru,23.6,13.9,18.4,0.0,13.0,20.03,4.22
2015-01-13,Nakuru,25.1,13.4,18.5,0.0,15.0,23.38,4.93
2015-01-14,Nakuru,25.0,12.1,18.4,0.0,12.6,27.56,5.57
2015-01-15,Nakuru,26.4,10.9,19.3,0.0,12.9,27.32,5.85
2015-01-16,Nakuru,26.4,13.0,19.8,0.0,12.3,26.27,5.69
2015-01-17,Nakuru,26.6,13.2,20.1,0.0,12.4,26.82,5.8
2015-01-18,Nakuru,25.7,13.6,20.3,0.0,10.0,23.71,5.2
2015-01-19,Nakuru,24.7,16.8,20.3,0.0,11.6,19.72,4.59
2015-01-20,Nakuru,24.3,13.7,18.9,2.0,11.5,21.2,4.48
2015-01-21,Nakuru,25.0,13.6,19.0,0.0,13.1,22.67,4.81
2015-01-22,Nakuru,24.6,13.2,18.6,0.0,10.9,24.62,4.94
2015-01-23,Nakuru,26.4,13.6,19.6,0.0,14.5,27.04,5.66
2015-01-24,Nakuru,26.5,14.0,19.8,0.0,12.4,27.47,5.77
2015-01-25,Nakuru,26.1,10.6,18.6,0.0,11.3,27.94,5.81
2015-01-26,Nakuru,26.0,11.9,18.6,0.0,11.7,28.4,5.87
2015-01-27,Nakuru,26.8,11.6,19.5,0.0,11.6,26.68,5.79
2015-01-28,Nakuru,26.7,13.3,20.0,0.0,12.6,25.89,5.57
2015-01-29,Nakuru,26.8,13.0,19.8,0.0,14.9,27.92,6.12
2015-01-30,Nakuru,27.0,12.7,19.9,0.0,13.2,26.6,5.98
2015-01-31,Nakuru,27.4,13.0,20.1,0.0,14.5,28.04,6.14
2015-02-01,Nakuru,27.7,12.9,20.3,0.0,15.5,26.37,5.94
2015-02-02,Nakuru,27.5,13.6,20.3,0.0,14.2,26.13,5.74
2015-02-03,Nakuru,27.9,12.8,20.4,0.0,15.6,26.75,5.98
2015-02-04,Nakuru,27.9,12.9,20.0,0.0,15.5,24.72,5.61
2015-02-05,Nakuru,27.7,12.9,20.5,0.0,13.9,26.82,5.94
2015-02-06,Nakuru,28.3,13.1,20.5,0.0,15.2,27.88,6.19
2015-02-07,Nakuru,28.1,13.4,20.6,0.0,14.1,26.7,5.87
2015-02-08,Nakuru,27.6,13.8,20.6,0.0,15.4,27.14,6.0
2015-02-09,Nakuru,28.9,13.5,21.1,0.0,12.8,28.46,6.38
2015-02-10,Nakuru,28.0,11.0,20.2,0.0,14.8,28.77,6.43
2015-02-11,Nakuru,28.4,11.2,20.3,0.0,14.2,29.3,6.35
2015-02-12,Nakuru,28.5,12.4,21.0,0.0,15.0,26.88,6.09
2015-02-13,Nakuru,29.2,13.6,21.5,0.0,15.3,28.82,6.53
2015-02-14,Nakuru,28.0,13.7,21.2,0.0,14.1,26.59,6.09
2015-02-15,Nakuru,25.6,13.9,19.7,3.4,14.4,20.82,4.56
2015-02-16,Nakuru,25.3,14.4,19.7,0.8,11.6,21.75,4.64
2015-02-17,Nakuru,24.3,15.1,19.9,0.0,8.0,22.5,4.51
2015-02-18,Nakuru,26.7,14.8,20.5,1.1,11.5,26.62,5.5
2015-02-19,Nakuru,26.4,11.7,20.0,0.0,10.9,27.09,5.55
2015-02-20,Nakuru,27.2,14.2,20.6,0.0,13.8,26.77,5.76
2015-02-21,Nakuru,28.4,12.0,20.7,0.0,15.5,28.76,6.36
2015-02-22,Nakuru,28.3,14.4,21.2,0.0,11.9,28.68,6.33
2015-02-23,Nakuru,28.3,13.5,21.1,0.0,14.9,26.55,6.02
2015-02-24,Nakuru,26.9,13.1,20.6,0.0,14.6,24.8,5.57
2015-02-25,Nakuru,27.1,13.3,20.6,0.0,15.2,25.12,5.64
2015-02-26,Nakuru,29.3,11.7,21.1,0.0,16.3,27.88,6.48
2015-02-27,Nakuru,28.9,12.8,20.8,0.0,15.4,28.52,6.56
2015-02-28,Nakuru,28.6,12.7,20.6,0.0,16.6,28.99,6.48
2015-03-01,Nakuru,28.3,12.2,20.5,0.0,16.3,28.26,6.47
2015-03-02,Nakuru,29.6,12.7,21.2,0.0,13.5,29.11,6.55
2015-03-03,Nakuru,28.6,12.3,20.6,0.0,14.1,29.37,6.68
2015-03-04,Nakuru,28.1,10.9,19.8,0.0,16.4,29.93,6.71
2015-03-05,Nakuru,28.3,12.3,20.2,0.0,15.1,26.25,6.16
2015-03-06,Nakuru,28.8,12.0,20.6,0.0,14.7,29.51,6.77
2015-03-07,Nakuru,28.9,11.0,20.6,0.0,14.6,29.16,6.79
2015-03-08,Nakuru,28.8,12.0,20.3,0.0,18.4,28.04,6.63
2015-03-09,Nakuru,29.3,11.3,20.6,0.0,13.7,29.55,6.75
2015-03-10,Nakuru,28.9,11.6,20.5,0.0,14.8,29.02,6.59
2015-03-11,Nakuru,29.6,11.3,20.8,0.0,14.0,29.76,6.72
2015-03-12,Nakuru,28.6,13.1,21.4,0.0,16.8,26.59,6.22
2015-03-13,Nakuru,29.5,12.5,21.2,0.0,15.9,26.99,6.22
2015-03-14,Nakuru,29.4,11.2,20.4,0.0,14.4,28.08,6.23
2015-03-15,Nakuru,29.2,8.9,19.7,0.0,13.9,29.28,6.33
2015-03-16,Nakuru,29.4,10.7,20.4,0.0,15.1,26.92,6.12
2015-03-17,Nakuru,28.7,12.6,20.9,0.0,15.8,25.47,5.86
2015-03-18,Nakuru,29.8,13.5,21.6,0.0,14.8,27.29,6.24
2015-03-19,Nakuru,28.9,14.1,21.2,0.0,15.0,24.7,5.67
2015-03-20,Nakuru,28.4,11.6,21.0,0.0,15.6,25.86,5.91
2015-03-21,Nakuru,28.9,13.3,21.5,0.0,12.4,26.47,5.94
2015-03-22,Nakuru,27.8,13.9,21.1,0.0,17.5,23.94,5.5
2015-03-23,Nakuru,25.9,16.3,19.5,18.8,13.1,21.64,4.29
2015-03-24,Nakuru,22.9,15.5,18.2,18.4,15.0,17.81,3.43
2015-03-25,Nakuru,23.7,12.3,18.4,0.9,10.2,22.61,4.39
2015-03-26,Nakuru,24.4,16.1,19.1,6.0,13.8,22.25,4.3
2015-03-27,Nakuru,24.8,14.2,18.9,2.1,12.1,23.04,4.45
2015-03-28,Nakuru,24.6,14.7,18.9,4.3,12.1,22.73,4.4
2015-03-29,Nakuru,23.6,15.5,19.0,1.5,13.3,21.17,4.19
2015-03-30,Nakuru,24.4,15.2,19.4,0.9,13.4,22.62,4.55
2015-03-31,Nakuru,24.0,12.8,18.7,0.6,14.8,23.26,4.62
2015-04-01,Nakuru,24.3,14.9,19.5,1.0,14.0,23.27,4.78
2015-04-02,Nakuru,26.4,16.9,20.9,0.3,16.6,25.92,5.49
2015-04-03,Nakuru,24.7,16.5,19.0,5.0,11.0,20.76,4.04
2015-04-04,Nakuru,20.7,14.5,17.3,22.3,7.0,12.83,2.46
2015-04-05,Nakuru,23.5,13.2,17.7,10.5,6.4,20.18,3.84
2015-04-06,Nakuru,23.4,14.4,18.2,10.6,8.7,20.79,3.99
2015-04-07,Nakuru,24.0,12.6,17.8,2.3,12.1,21.73,4.19
2015-04-08,Nakuru,24.4,12.2,18.0,3.3,9.4,23.86,4.52
2015-04-09,Nakuru,23.3,13.8,18.0,5.9,14.9,19.65,3.67
